Company,City,Country,Industry,Investor,Last Valuation,Unicorn
May Mobility,Ann Arbor,United States,Automotive,Y Combinator,850000000,0
Ample,San Francisco,United States,Automotive,Transform VC,850000000,0
Rallybio,Farmington,United States,Biopharma,F-Prime Capital,850000000,0
Kin Insurance,Chicago,United States,Financial Services,500 Global,850000000,0
Contrast Security,Los Altos,United States,Cloud Security,Warburg Pincus,850000000,0
Verana Health,San Francisco,United States,Analytics,GV,850000000,0
Digital Asset,New York,United States,Blockchain,Citi,815000000,0
Mynd,Oakland,United States,Property Management,Invesco,807000000,0
Flo Health,London,United Kingdom,Artificial Intelligence,Founders Fund,800000000,0
Yellowbrick Data,Palo Alto,United States,Analytics,IVP,800000000,0
Silverback Therapeutics,Seattle,United States,Biopharma,OrbiMed,800000000,0
EGenesis,Cambridge,United States,Biopharma,Bayer,800000000,0
mParticle,New York,United States,Analytics,Eniac Ventures,800000000,0
Deep Instinct,New York,United States,Artificial Intelligence,BlackRock,800000000,0
Corvus Insurance,Boston,United States,Artificial Intelligence,Insight Partners,800000000,0
Workboard,Redwood City,United States,Business Intelligence,Andreessen Horowitz,800000000,0
Notarize,Boston,United States,Legal,Fifth Wall,760000000,0
Branch International,San Francisco,United States,Apps,Andreessen Horowitz,750000000,0
98point6,Seattle,United States,Health Care,Goldman Sachs,750000000,0
Scipher Medicine,Waltham,United States,Alternative Medicine,Alumni Ventures,750000000,0
Alignment Health,Orange,United States,Health Care,Warburg Pincus,750000000,0
Cullinan Oncology,Cambridge,United States,Biopharma,OrbiMed,750000000,0
FourKites,Chicago,United States,Enterprise Software,Qualcomm Ventures,750000000,0
Aspiration,Marina Del Rey,United States,Banking,FootPrint Coalition,750000000,0
Netradyne,San Diego,United States,Analytics,Reliance Industries,750000000,0
FreshRealm,Ventura,United States,B2B,,750000000,0
Ecological Service Partners,Washington,United States,Environmental Consulting,,750000000,0
Gorgias,San Francisco,United States,Computer,Techstars,710000000,0
Virgin Hyperloop,Los Angeles,United States,Industrial Engineering,OurCrowd,700000000,0
Fungible,Santa Clara,United States,Computer,Norwest Venture Partners,700000000,0
Eaze,San Francisco,United States,Cannabis,500 Global,700000000,0
Madison Reed,San Francisco,United States,Beauty,Alumni Ventures,700000000,0
D2iq,San Francisco,United States,Cloud Computing,Andreessen Horowitz,700000000,0
AutoFi,San Francisco,United States,Automotive,500 Global,700000000,0
Ripple Foods,Emeryville,United States,Food and Beverage,OurCrowd,700000000,0
Apollomics,Foster City,United States,Biotechnology,OrbiMed,700000000,0
PMV Pharmaceuticals,Redwood City,United States,Biopharma,OrbiMed,700000000,0
Imperfect Foods,San Francisco,United States,Consumer,Norwest Venture Partners,700000000,0
Embark,Boston,United States,Health Care,FJ Labs,700000000,0
Thrive Global,New York,United States,Corporate Training,IVP,700000000,0
VidMob,New York,United States,Advertising Platforms,BuildGroup,700000000,0
United Wind,Brooklyn,United States,Energy,Equinor,700000000,0
Aetion,New York,United States,Analytics,Warburg Pincus,650000000,0
